Category,English,Transliteration,Hebrew
"Adjectives, Adverbs",,,
,A little,K-tsat,קצת
,A lot,Har-be,הרבה
,Again,Shuv,שוב
,All,Kol,כל
,Alone,Le-vad,לבד
,Also,Gam,גם
,Angry,Ko-es,כועס
,Bad,Ra,רע
,Beautiful,Ya-fe,יפה
,Big,Ga-dol,גדול
,Black,Sha-khor,שחור
,Blue,Ka-chol,כחול
,Boring,Me-sha-a-mem,משעמם
,Cheap,Zol,זול
,Clean,Na-ki,נקי
,Closed,Sa-gur,סגור
,Cold,Kar,קר
,Correct,Na-chon,נכון
,Difficult,Ka-she,קשה
,Down,Le-ma-ta,למטה
,Early,Muk-dam,מוקדם
,Easy,Kal,קל
,Exciting,Mal-hiv,מלהיב
,Expensive,Ya-kar,יקר
,Fast,Ma-hair,מהיר
,Fat,Sha-men,שמן
,First,Ri-shon,ראשון
,Forbidden,A-sur,אסור
,Fried,Me-tu-gan,מטוגן
,Full,Ma-le,מלא
,Funny,Mats-chik,מצחיק
,Good,Tov,טוב
,Green,Ya-rok,ירוק
,Hard,Ka-she,קשה
,Half (of something),Che-tsi,חצי
,Healthy,Ba-ri,בריא
,Here,Po,פה
,High,Ga-vo-ha,גבוה
,Hot,Kham,חם
,Hungry,Ra-ev,רעב
,Important,Cha-shuv,חשוב
,Inside,Bif-nim,בפנים
,Intelligent,Na-von,נבון
,Interesting,Me-an-yen,מעניין
,Jewish,Ye-hu-di,יהודי
,Kosher,Ka-sher,כשר
,"Last, final",A-cha-ron,אחרון
,Late,Me-u-char,מאוחר
,Lazy,Ats-lan,עצלן
,Left (direction),Smo-la,שמאלה
,Low,Na-mukh,נמוך
,Married,Na-su-i,נשוי
,Medium,Bei-no-ni,בינוני
,New,Cha-dash,חדש
,Next,Ha-ba,הבא
,Noisy,Ro-esh,רועש
,Okay,Be-se-der,בסדר
,Old (person),Za-ken,זקן
,Old (thing),Ya-shan,ישן
,Open,Pa-tu-akh,פתוח
,Orange (color),Ka-tom,כתום
,Outside,Ba-chuts,בחוץ
,Poor,A-ni,עני
,Purple,Sa-gol,סגול
,Quarter (of something),Re-va,רבע
,Quickly,Ma-hair,מהר
,Quiet,She-ket,שקט
,Ready,Mu-chan,מוכן
,Red,A-dom,אדום
,Religious,Da-ti,דתי
,Rich,A-shir,עשיר
,Right (direction),Ya-mi-na,ימינה
,Secular,Chi-lo-ni,חלוני
,Sick,Cho-le,חולה
,Simple,Pa-shut,פשוט
,Singular; single (not married),Ya-chid,יחיד
,Slow,I-ti,איטי
,Slowly,Le-at,לאט
,Small,Ka-tan,קטן
,Smart,Pi-ke-ach,פיקח
,Smelly,Mas-ri-ach,מסריח
,Soft,Rach,רך
,Soon,Be-ka-rov,בקרוב
,Spicy (hot),Cha-rif,חריף
,Straight ahead; honest,Ya-shar,ישר
,Strong,Cha-zak,חזק
,Sweet,Ma-tok,מתוק
,Tasty,Ta-im,טעים
,There,Sham,שם
,Thin,Ra-ze,רזה
,Third (of something),Shlish,שליש
,Tired,A-yef,עייף
,Today,Ha-yom,היום
,Together,Be-ya-chad,ביחד
,Tomorrow,Ma-char,מחר
,Twice,Pa-a-ma-yim,פעמים
,Ugly,Me-cho-ar,מכוער
,Up,Le-ma-la,למעלה
,Weak,Cha-lash,חלש
,Very,Me-od,מאוד
,Wet,Ra-tuv,רטוב
,White,La-van,לבן
,Who,Mi,מי
,Whole,Sha-laim,שלם
,Without,Bli,בלי
,Yellow,Tsa-hov,צהוב
,Yes,Ken,כן
,Yesterday,Et-mol,אתמול
"Conjunctions, prepositions",,,
,And,Ve,-ו
