All,כל,Kol
House,בית,Ba-yit
Tea,תה,Te
Yellow,צהוב,Tsa-hov
Kosher,כשר,Ka-sher
Tomato,עגבניה,Ag-va-ni-ya
Purple,סגול,Sa-gol
Mold,עובש,O-vesh
Surname,שם משפחה,Shem mish-pa-cha
Sheet,סדין,Sa-din
"In,at",-ב,Be
Summer,קיץ,Ka-yits
Basketball,כדורסל,Ka-dur-sal
We,אנחנו,A-nach-nu
Husband,בעל,Ba-al
"Road,route",כביש,Kvish
Whole,שלם,Sha-laim
Closed,סגור,Sa-gur
Exciting,מלהיב,Mal-hiv
Blue,כחול,Ka-chol
No,לא,Lo
Turkey,הודו,Ho-du
Day,יום,Yom
Next,הבא,Ha-ba
Money,כסף,Ke-sef
Key,מפתח,Maf-te-ach
Family,משפחה,Mish-pa-cha
Olive,זית,Za-yit
Early,מוקדם,Muk-dam
Printer,מדפסת,Mad-pe-set
Boy,ילד,Ye-led
Question,שאלה,She-e-la
Lettuce,חסה,Cha-sa
Spider,עכביש,A-ka-vish
He,הוא,Hu
Moon,ירח,Ya-re-akh
Passport,דרכון,Dar-kon
Fork,מזלג,Maz-leg
Day,יום,Yom
Stomach,בטן,Be-ten
Past,עבר,A-var
All,כל,Kol
House,בית,Ba-yit
Yes,כן,Ken
Bad,רע,Ra
Bless you,לבריאות,Liv-ri-ut

