,Dad,Aba ,אבא
,Mom,Ima,אמא
,I,Ani,אני
,He,Hoo,הוא
,She,Heeee,היא
,They (male),Hem,הם
,Hello,Shalom,שלום
,The,A or o,ה
,Yes,Ken,כן
,No/not,Lo,לא
,This(male),Ze,זה
,This (female),Zo,זו
,Many,Rabim ,רבים
,Way,Derekh,דרך
,In,Be,ב
,King,melekh,מלך
,Apple,topuakh,תפוח
,One,ekhad,אחד
,two,shtaim,שתיים
,three,shalosh,שלוש
,four,arba,ארבע
,five,hamesh,חמש
,six,shesh,שש
,seven,shmone,שמונה
,eight,sheva,שבע
,nine,tesha,תשע
,ten,eser,עשר
,zero,efes,אפס
,Want,Rotse ,רוצה
,Why?,Llama,למה
,What?,Maa ,מה
,Who?,Mi,מי
,Is coming,Ba,בא
,we,Anahnu ,אנהנו
,They (female),Hen ,הן
,All,Kol,כל
,House,Ba-yit,בית
,Tea,Te,תה
,Yellow,Tsa-hov,צהוב
,Kosher,Ka-sher,כשר
,Tomato,Ag-va-ni-ya,עגבניה
,Purple,Sa-gol,סגול
,Mold,O-vesh,עובש
,Surname,Shem mish-pa-cha,שם משפחה
,Sheet,Sa-din,סדין
,"In,at",Be,ב
,Summer,Ka-yits,קיץ
,Basketball,Ka-dur-sal,כדורסל
,We,A-nach-nu,אנחנו
,Husband,Ba-al,בעל
,"Road,route",Kvish,כביש
,Whole,Sha-laim,שלם
,Closed,Sa-gur,סגור
,Exciting,Mal-hiv,מלהיב
,Blue,Ka-chol,כחול
,No,Lo,לא
,Turkey,Ho-du,הודו
,Day,Yom,יום
,Next,Ha-ba,הבא
,Money,Ke-sef,כסף
,Key,Maf-te-ach,מפתח
,Family,Mish-pa-cha,משפחה
,Olive,Za-yit,זית
,Early,Muk-dam,מוקדם
,Printer,Mad-pe-set,מדפסת
,Boy,Ye-led,ילד
,Question,She-e-la,שאלה
,Lettuce,Cha-sa,חסה
,Spider,A-ka-vish,עכביש
,Moon,Ya-re-akh,ירח
,Passport,Dar-kon,דרכון
,Fork,Maz-leg,מזלג
,Day,Yom,יום
,Stomach,Be-ten,בטן
,Past,A-var,עבר
,House,Ba-yit,בית
,Yes,Ken,כן
,Bad,Ra,רע
,Bless you,Liv-ri-ut,לבריאות
,Dog,Kelev ,כלב
